Year,Port Name,Direction,Cargo Group Name,Tonnage,Published Port Lat,Published Port Long
2000,Dover,Outwards,Ro-Ro Self-Prop,6572,51.1251275,1.3134228
2000,Dundee,Inwards,All Cargo,757,56.46196324,-2.952554173
2000,Dundee,Inwards,Dry Bulk,107,56.46196324,-2.952554173
2000,Dundee,Inwards,Liquid Bulk,336,56.46196324,-2.952554173
2000,Dundee,Inwards,Lo-Lo,0,56.46196324,-2.952554173
2000,Dundee,Inwards,Main Freight,0,56.46196324,-2.952554173
2000,Dundee,Inwards,Other General Cargo,315,56.46196324,-2.952554173
2000,Dundee,Outwards,All Cargo,290,56.46196324,-2.952554173
2000,Dundee,Outwards,Dry Bulk,187,56.46196324,-2.952554173
2000,Dundee,Outwards,Liquid Bulk,75,56.46196324,-2.952554173
2000,Dundee,Outwards,Other General Cargo,27,56.46196324,-2.952554173
2000,Felixstowe,Inwards,All Cargo,16901,51.9642959,1.3289938
2000,Felixstowe,Inwards,Dry Bulk,10,51.9642959,1.3289938
2000,Felixstowe,Inwards,Liquid Bulk,191,51.9642959,1.3289938
2000,Felixstowe,Inwards,Lo-Lo,12855,51.9642959,1.3289938
2000,Felixstowe,Inwards,Main Freight,16174,51.9642959,1.3289938
2000,Felixstowe,Inwards,Other General Cargo,494,51.9642959,1.3289938
2000,Felixstowe,Inwards,Ro-Ro Non-SP,2859,51.9642959,1.3289938
2000,Felixstowe,Inwards,Ro-Ro Self-Prop,492,51.9642959,1.3289938
2000,Felixstowe,Outwards,All Cargo,12785,51.9642959,1.3289938
2000,Felixstowe,Outwards,Dry Bulk,35,51.9642959,1.3289938
2000,Felixstowe,Outwards,Liquid Bulk,3,51.9642959,1.3289938
2000,Felixstowe,Outwards,Lo-Lo,9897,51.9642959,1.3289938
2000,Felixstowe,Outwards,Main Freight,12707,51.9642959,1.3289938
2000,Felixstowe,Outwards,Other General Cargo,30,51.9642959,1.3289938
2000,Felixstowe,Outwards,Ro-Ro Non-SP,2330,51.9642959,1.3289938
2000,Felixstowe,Outwards,Ro-Ro Self-Prop,490,51.9642959,1.3289938
2000,Fishguard,Inwards,All Cargo,202,51.993364,-4.976783
2000,Fishguard,Inwards,Main Freight,200,51.993364,-4.976783
2000,Fishguard,Inwards,Ro-Ro Non-SP,46,51.993364,-4.976783
2000,Fishguard,Inwards,Ro-Ro Self-Prop,156,51.993364,-4.976783
2000,Fishguard,Outwards,All Cargo,219,51.993364,-4.976783
2000,Fishguard,Outwards,Main Freight,217,51.993364,-4.976783
2000,Fishguard,Outwards,Ro-Ro Non-SP,57,51.993364,-4.976783
2000,Fishguard,Outwards,Ro-Ro Self-Prop,161,51.993364,-4.976783
2000,Fleetwood,Inwards,All Cargo,763,53.9219585,-3.0327286
2000,Fleetwood,Inwards,Main Freight,736,53.9219585,-3.0327286
2000,Fleetwood,Inwards,Ro-Ro Non-SP,523,53.9219585,-3.0327286
2000,Fleetwood,Inwards,Ro-Ro Self-Prop,239,53.9219585,-3.0327286
2000,Fleetwood,Outwards,All Cargo,767,53.9219585,-3.0327286
2000,Fleetwood,Outwards,Main Freight,732,53.9219585,-3.0327286
2000,Fleetwood,Outwards,Ro-Ro Non-SP,550,53.9219585,-3.0327286
2000,Fleetwood,Outwards,Ro-Ro Self-Prop,217,53.9219585,-3.0327286
2000,Forth,Inwards,All Cargo,3929,55.955811,-3.002736
2000,Forth,Inwards,Dry Bulk,823,55.955811,-3.002736
2000,Forth,Inwards,Liquid Bulk,2351,55.955811,-3.002736
2000,Forth,Inwards,Lo-Lo,227,55.955811,-3.002736
2000,Forth,Inwards,Main Freight,227,55.955811,-3.002736
2000,Forth,Inwards,Other General Cargo,528,55.955811,-3.002736
2000,Forth,Outwards,All Cargo,37214,55.955811,-3.002736
2000,Forth,Outwards,Dry Bulk,313,55.955811,-3.002736
2000,Forth,Outwards,Liquid Bulk,36439,55.955811,-3.002736
2000,Forth,Outwards,Lo-Lo,379,55.955811,-3.002736
2000,Forth,Outwards,Main Freight,380,55.955811,-3.002736
2000,Forth,Outwards,Other General Cargo,80,55.955811,-3.002736
2000,Forth,Outwards,Ro-Ro Non-SP,0,55.955811,-3.002736
2000,Fowey,Inwards,All Cargo,3,50.3357786,-4.6365952
2000,Fowey,Inwards,Dry Bulk,3,50.3357786,-4.6365952
2000,Fowey,Outwards,All Cargo,1524,50.3357786,-4.6365952
2000,Fowey,Outwards,Dry Bulk,1524,50.3357786,-4.6365952
2000,Glensanda,Outwards,All Cargo,5899,56.5664942,-5.5683994
2000,Glensanda,Outwards,Dry Bulk,5899,56.5664942,-5.5683994
2000,Glensanda,Outwards,Other General Cargo,0,56.5664942,-5.5683994
2000,Goole,Inwards,All Cargo,1955,53.70068601,-0.869895988
2000,Goole,Inwards,Dry Bulk,285,53.70068601,-0.869895988
2000,Goole,Inwards,Liquid Bulk,14,53.70068601,-0.869895988
2000,Goole,Inwards,Lo-Lo,636,53.70068601,-0.869895988
2000,Goole,Inwards,Main Freight,637,53.70068601,-0.869895988
2000,Goole,Inwards,Other General Cargo,1020,53.70068601,-0.869895988
2000,Goole,Inwards,Ro-Ro Non-SP,0,53.70068601,-0.869895988
2000,Goole,Inwards,Ro-Ro Self-Prop,0,53.70068601,-0.869895988
2000,Goole,Outwards,All Cargo,755,53.70068601,-0.869895988
2000,Goole,Outwards,Dry Bulk,55,53.70068601,-0.869895988
2000,Goole,Outwards,Liquid Bulk,11,53.70068601,-0.869895988
2000,Goole,Outwards,Lo-Lo,328,53.70068601,-0.869895988
2000,Goole,Outwards,Main Freight,329,53.70068601,-0.869895988
2000,Goole,Outwards,Other General Cargo,360,53.70068601,-0.869895988
2000,Goole,Outwards,Ro-Ro Self-Prop,0,53.70068601,-0.869895988
2000,Great Yarmouth,Inwards,All Cargo,575,52.5729799,1.737455881
2000,Great Yarmouth,Inwards,Dry Bulk,320,52.5729799,1.737455881
2000,Great Yarmouth,Inwards,Liquid Bulk,118,52.5729799,1.737455881
2000,Great Yarmouth,Inwards,Other General Cargo,137,52.5729799,1.737455881
2000,Great Yarmouth,Outwards,All Cargo,182,52.5729799,1.737455881
2000,Great Yarmouth,Outwards,Dry Bulk,31,52.5729799,1.737455881
2000,Great Yarmouth,Outwards,Liquid Bulk,0,52.5729799,1.737455881
2000,Great Yarmouth,Outwards,Other General Cargo,151,52.5729799,1.737455881
2000,Grimsby & Immingham,Inwards,All Cargo,35615,53.61559677,-0.211312294
2000,Grimsby & Immingham,Inwards,Dry Bulk,12158,53.61559677,-0.211312294
2000,Grimsby & Immingham,Inwards,Liquid Bulk,17061,53.61559677,-0.211312294
2000,Grimsby & Immingham,Inwards,Lo-Lo,454,53.61559677,-0.211312294
2000,Grimsby & Immingham,Inwards,Main Freight,4692,53.61559677,-0.211312294
2000,Grimsby & Immingham,Inwards,Other General Cargo,1195,53.61559677,-0.211312294
2000,Grimsby & Immingham,Inwards,Ro-Ro Non-SP,4163,53.61559677,-0.211312294
2000,Grimsby & Immingham,Inwards,Ro-Ro Self-Prop,583,53.61559677,-0.211312294
2000,Grimsby & Immingham,Outwards,All Cargo,16886,53.61559677,-0.211312294
2000,Grimsby & Immingham,Outwards,Dry Bulk,1544,53.61559677,-0.211312294
2000,Grimsby & Immingham,Outwards,Liquid Bulk,11175,53.61559677,-0.211312294
2000,Grimsby & Immingham,Outwards,Lo-Lo,211,53.61559677,-0.211312294
2000,Grimsby & Immingham,Outwards,Main Freight,3236,53.61559677,-0.211312294
2000,Grimsby & Immingham,Outwards,Other General Cargo,697,53.61559677,-0.211312294
2000,Grimsby & Immingham,Outwards,Ro-Ro Non-SP,2954,53.61559677,-0.211312294
2000,Grimsby & Immingham,Outwards,Ro-Ro Self-Prop,303,53.61559677,-0.211312294
2000,Harwich,Inwards,All Cargo,2290,51.948522,1.2857795
2000,Harwich,Inwards,Dry Bulk,43,51.948522,1.2857795
2000,Harwich,Inwards,Liquid Bulk,223,51.948522,1.2857795
2000,Harwich,Inwards,Lo-Lo,439,51.948522,1.2857795
2000,Harwich,Inwards,Main Freight,1919,51.948522,1.2857795
2000,Harwich,Inwards,Other General Cargo,93,51.948522,1.2857795
2000,Harwich,Inwards,Ro-Ro Non-SP,675,51.948522,1.2857795
2000,Harwich,Inwards,Ro-Ro Self-Prop,817,51.948522,1.2857795
2000,Harwich,Outwards,All Cargo,1700,51.948522,1.2857795
2000,Harwich,Outwards,Dry Bulk,140,51.948522,1.2857795
2000,Harwich,Outwards,Liquid Bulk,310,51.948522,1.2857795
2000,Harwich,Outwards,Lo-Lo,336,51.948522,1.2857795
2000,Harwich,Outwards,Main Freight,1202,51.948522,1.2857795
2000,Harwich,Outwards,Other General Cargo,25,51.948522,1.2857795
2000,Harwich,Outwards,Ro-Ro Non-SP,403,51.948522,1.2857795
2000,Harwich,Outwards,Ro-Ro Self-Prop,487,51.948522,1.2857795
2000,Heysham,Inwards,All Cargo,1795,54.0494955,-2.890311
2000,Heysham,Inwards,Dry Bulk,40,54.0494955,-2.890311
2000,Heysham,Inwards,Liquid Bulk,4,54.0494955,-2.890311
2000,Heysham,Inwards,Main Freight,1670,54.0494955,-2.890311
2000,Heysham,Inwards,Other General Cargo,46,54.0494955,-2.890311
2000,Heysham,Inwards,Ro-Ro Non-SP,1427,54.0494955,-2.890311
2000,Heysham,Inwards,Ro-Ro Self-Prop,279,54.0494955,-2.890311
2000,Heysham,Outwards,All Cargo,1929,54.0494955,-2.890311
2000,Heysham,Outwards,Liquid Bulk,0,54.0494955,-2.890311
2000,Heysham,Outwards,Main Freight,1802,54.0494955,-2.890311
2000,Heysham,Outwards,Other General Cargo,0,54.0494955,-2.890311
2000,Heysham,Outwards,Ro-Ro Non-SP,1542,54.0494955,-2.890311
2000,Heysham,Outwards,Ro-Ro Self-Prop,387,54.0494955,-2.890311
2000,Holyhead,Inwards,All Cargo,1792,53.3106715,-4.6330966
2000,Holyhead,Inwards,Dry Bulk,266,53.3106715,-4.6330966
2000,Holyhead,Inwards,Main Freight,1444,53.3106715,-4.6330966
2000,Holyhead,Inwards,Ro-Ro Non-SP,248,53.3106715,-4.6330966
2000,Holyhead,Inwards,Ro-Ro Self-Prop,1279,53.3106715,-4.6330966
2000,Holyhead,Outwards,All Cargo,1652,53.3106715,-4.6330966
2000,Holyhead,Outwards,Main Freight,1576,53.3106715,-4.6330966
2000,Holyhead,Outwards,Ro-Ro Non-SP,266,53.3106715,-4.6330966
2000,Holyhead,Outwards,Ro-Ro Self-Prop,1386,53.3106715,-4.6330966
2000,Hull,Inwards,All Cargo,6997,53.743659,-0.33823852
2000,Hull,Inwards,Dry Bulk,1399,53.743659,-0.33823852
2000,Hull,Inwards,Liquid Bulk,1377,53.743659,-0.33823852
2000,Hull,Inwards,Lo-Lo,1661,53.743659,-0.33823852
2000,Hull,Inwards,Main Freight,2900,53.743659,-0.33823852
2000,Hull,Inwards,Other General Cargo,969,53.743659,-0.33823852
2000,Hull,Inwards,Ro-Ro Non-SP,1251,53.743659,-0.33823852
2000,Hull,Inwards,Ro-Ro Self-Prop,341,53.743659,-0.33823852
2000,Hull,Outwards,All Cargo,3725,53.743659,-0.33823852
2000,Hull,Outwards,Dry Bulk,416,53.743659,-0.33823852
2000,Hull,Outwards,Liquid Bulk,1180,53.743659,-0.33823852
2000,Hull,Outwards,Lo-Lo,870,53.743659,-0.33823852
2000,Hull,Outwards,Main Freight,1871,53.743659,-0.33823852
2000,Hull,Outwards,Other General Cargo,207,53.743659,-0.33823852
2000,Hull,Outwards,Ro-Ro Non-SP,672,53.743659,-0.33823852
2000,Hull,Outwards,Ro-Ro Self-Prop,381,53.743659,-0.33823852
2000,Ipswich,Inwards,All Cargo,1973,52.0579324,1.1528095
2000,Ipswich,Inwards,Dry Bulk,1079,52.0579324,1.1528095
2000,Ipswich,Inwards,Liquid Bulk,427,52.0579324,1.1528095
2000,Ipswich,Inwards,Lo-Lo,119,52.0579324,1.1528095
2000,Ipswich,Inwards,Main Freight,303,52.0579324,1.1528095
2000,Ipswich,Inwards,Other General Cargo,164,52.0579324,1.1528095
2000,Ipswich,Inwards,Ro-Ro Non-SP,148,52.0579324,1.1528095
2000,Ipswich,Inwards,Ro-Ro Self-Prop,37,52.0579324,1.1528095
2000,Ipswich,Outwards,All Cargo,952,52.0579324,1.1528095
2000,Ipswich,Outwards,Dry Bulk,834,52.0579324,1.1528095
2000,Ipswich,Outwards,Liquid Bulk,4,52.0579324,1.1528095
2000,Ipswich,Outwards,Lo-Lo,10,52.0579324,1.1528095
2000,Ipswich,Outwards,Main Freight,110,52.0579324,1.1528095
2000,Ipswich,Outwards,Other General Cargo,3,52.0579324,1.1528095
2000,Ipswich,Outwards,Ro-Ro Non-SP,78,52.0579324,1.1528095
2000,Ipswich,Outwards,Ro-Ro Self-Prop,22,52.0579324,1.1528095
2000,Kilroot Power Station Jetty,Inwards,All Cargo,1196,54.7321574,-5.7664992
2000,Kilroot Power Station Jetty,Inwards,Dry Bulk,1178,54.7321574,-5.7664992
2000,Kilroot Power Station Jetty,Inwards,Liquid Bulk,18,54.7321574,-5.7664992
2000,Larne,Inwards,All Cargo,2236,54.8508458,-5.8183116
2000,Larne,Inwards,Main Freight,2078,54.8508458,-5.8183116
2000,Larne,Inwards,Ro-Ro Non-SP,1430,54.8508458,-5.8183116
2000,Larne,Inwards,Ro-Ro Self-Prop,805,54.8508458,-5.8183116
2000,Larne,Outwards,All Cargo,2271,54.8508458,-5.8183116
2000,Larne,Outwards,Main Freight,2081,54.8508458,-5.8183116
2000,Larne,Outwards,Ro-Ro Non-SP,1366,54.8508458,-5.8183116
2000,Larne,Outwards,Ro-Ro Self-Prop,905,54.8508458,-5.8183116
2000,Liverpool,Inwards,All Cargo,23492,53.435409,-3.0044427
2000,Liverpool,Inwards,Dry Bulk,5635,53.435409,-3.0044427
2000,Liverpool,Inwards,Liquid Bulk,12391,53.435409,-3.0044427
2000,Liverpool,Inwards,Lo-Lo,1819,53.435409,-3.0044427
2000,Liverpool,Inwards,Main Freight,4274,53.435409,-3.0044427
2000,Liverpool,Inwards,Other General Cargo,1171,53.435409,-3.0044427
2000,Liverpool,Inwards,Ro-Ro Non-SP,1765,53.435409,-3.0044427
2000,Liverpool,Inwards,Ro-Ro Self-Prop,712,53.435409,-3.0044427
2000,Liverpool,Outwards,All Cargo,6929,53.435409,-3.0044427
2000,Liverpool,Outwards,Dry Bulk,1456,53.435409,-3.0044427
2000,Liverpool,Outwards,Liquid Bulk,214,53.435409,-3.0044427
2000,Liverpool,Outwards,Lo-Lo,2012,53.435409,-3.0044427
2000,Liverpool,Outwards,Main Freight,5155,53.435409,-3.0044427
2000,Liverpool,Outwards,Other General Cargo,51,53.435409,-3.0044427
2000,Liverpool,Outwards,Ro-Ro Non-SP,2328,53.435409,-3.0044427
2000,Liverpool,Outwards,Ro-Ro Self-Prop,868,53.435409,-3.0044427
2000,London,Inwards,All Cargo,38042,51.50694,-0.072797405
2000,London,Inwards,Dry Bulk,12175,51.50694,-0.072797405
2000,London,Inwards,Liquid Bulk,15736,51.50694,-0.072797405
2000,London,Inwards,Lo-Lo,3025,51.50694,-0.072797405
2000,London,Inwards,Main Freight,6342,51.50694,-0.072797405
2000,London,Inwards,Other General Cargo,3330,51.50694,-0.072797405
2000,London,Inwards,Ro-Ro Non-SP,3218,51.50694,-0.072797405
2000,London,Inwards,Ro-Ro Self-Prop,558,51.50694,-0.072797405
2000,London,Outwards,All Cargo,9850,51.50694,-0.072797405
