Year,Port Name,Cargo Code,Cargo Name,Cargo Group Code,Cargo Group Name,Direction,Tonnage,Units,TEU,Published Port Lat,Published Port Long,,
2000,Clyde,22,Coal,20,Dry Bulk,Outwards,1204,0,0,55.865084,-4.3237846,,
2000,Clyde,23,"Agricultural products (eg grain, soya, tapioca)",20,Dry Bulk,Inwards,131,0,0,55.865084,-4.3237846,,
2000,Clyde,23,"Agricultural products (eg grain, soya, tapioca)",20,Dry Bulk,Outwards,2,0,0,55.865084,-4.3237846,,
2000,Clyde,29,Other dry bulk,20,Dry Bulk,Inwards,360,0,0,55.865084,-4.3237846,,
2000,Clyde,29,Other dry bulk,20,Dry Bulk,Outwards,171,0,0,55.865084,-4.3237846,,
2000,Clyde,31,20' freight units,30,Lo-Lo,Inwards,67,4,4,55.865084,-4.3237846,,
2000,Clyde,31,20' freight units,30,Lo-Lo,Outwards,19,1,1,55.865084,-4.3237846,,
2000,Clyde,32,40' freight units,30,Lo-Lo,Inwards,150,11,22,55.865084,-4.3237846,,
2000,Clyde,32,40' freight units,30,Lo-Lo,Outwards,213,10,21,55.865084,-4.3237846,,
2000,Clyde,33,Freight units >20' & <40',30,Lo-Lo,Inwards,0,2,3,55.865084,-4.3237846,,
2000,Clyde,33,Freight units >20' & <40',30,Lo-Lo,Outwards,0,0,0,55.865084,-4.3237846,,
2000,Clyde,34,Freight units >40',30,Lo-Lo,Inwards,1,0,0,55.865084,-4.3237846,,
2000,Clyde,34,Freight units >40',30,Lo-Lo,Outwards,0,0,0,55.865084,-4.3237846,,
2000,Clyde,51,Road goods vehicles with or without accompanying trailers,50,Ro-Ro Self-Prop,Inwards,15,1,0,55.865084,-4.3237846,,
2000,Clyde,51,Road goods vehicles with or without accompanying trailers,50,Ro-Ro Self-Prop,Outwards,8,1,0,55.865084,-4.3237846,,
2000,Clyde,59,Other mobile self-propelled units,50,Ro-Ro Self-Prop,Inwards,56,2,0,55.865084,-4.3237846,,
2000,Clyde,59,Other mobile self-propelled units,50,Ro-Ro Self-Prop,Outwards,13,1,0,55.865084,-4.3237846,,
2000,Clyde,61,Unaccompanied road goods trailers & semi-trailers,50,Ro-Ro Non-SP,Inwards,161,10,0,55.865084,-4.3237846,,
2000,Clyde,61,Unaccompanied road goods trailers & semi-trailers,50,Ro-Ro Non-SP,Outwards,144,12,0,55.865084,-4.3237846,,
2000,Clyde,62,"Unaccompanied caravans and other road, agricultural and industrial vehicles",50,Ro-Ro Non-SP,Inwards,0,0,0,55.865084,-4.3237846,,
2000,Clyde,63,"Rail wagons, shipborne port to port trailers, and shipborne barges engaged in goods transport",50,Ro-Ro Non-SP,Inwards,0,0,0,55.865084,-4.3237846,,
2000,Clyde,69,Other mobile non self-propelled units,50,Ro-Ro Non-SP,Inwards,20,1,0,55.865084,-4.3237846,,
2000,Clyde,69,Other mobile non self-propelled units,50,Ro-Ro Non-SP,Outwards,11,1,0,55.865084,-4.3237846,,
2000,Clyde,91,Forestry products,90,Other General Cargo,Inwards,113,0,0,55.865084,-4.3237846,,
2000,Clyde,91,Forestry products,90,Other General Cargo,Outwards,2,0,0,55.865084,-4.3237846,,
2000,Clyde,92,Iron and steel products,90,Other General Cargo,Inwards,24,0,0,55.865084,-4.3237846,,
